Entity;Type;tvb:type;Superclass(es);tvb:mathematical_notation;is_CVAR_of;is_argument_of;is_VOI_of;surrogate;has_state_variable;is_derivative_of;has_argument;equals;depends_on;is_boolean_of;has_function;is_coefficient_of;regional_surrogate;is_parameter_of;is_state_variable_of;surrogate_of;has_derivative;has_parameter;contains;is_function_of;owl:topObjectProperty;is_a;has_range;has_default;identifier;publicMeSHNote;dc:description;tvb:sourcecode;tvb:dynamicalConfiguration;tvb:fullName;tvb:category;tvb:GO_ID;tvb:tuto;tvb:expression;tvb:wiki;tvb:acronym;tvb:unit;tvb:documentation;tvb:references;tvb:equation;tvb:dynamicsExploration;tvb:functionType;tvb:shortName;tvb:synonym;rdfs:label;skos:definition;
mu_synE_CO;Class;NMM_parameter;Cakan-Obermayer;\mu_{synE};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;mu_synE_CO;;
mu_synI_CO;Class;NMM_parameter;Cakan-Obermayer;\mu_{synI};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;mu_synI_CO;;
r_E_CO;Class;NMM_parameter;Cakan-Obermayer;r_E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;r_E_CO;;
r_EE_CO;Class;NMM_parameter;Cakan-Obermayer;r_{EE};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;r_EE_CO;Mean of the effective input rate from population E to population E;
r_EI_CO;Class;NMM_parameter;Cakan-Obermayer;r_{EI};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;r_EI_CO;Mean of the effective input rate from population I to population E;
r_I_CO;Class;NMM_parameter;Cakan-Obermayer;r_I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;r_I_CO;;
r_IE_CO;Class;NMM_parameter;Cakan-Obermayer;r_{IE};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;r_IE_CO;Mean of the effective input rate from population E to population I;
r_II_CO;Class;NMM_parameter;Cakan-Obermayer;r_{II};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;r_II_CO;Mean of the effective input rate from population I to population I;
rho_EE_CO;Class;NMM_parameter;Cakan-Obermayer;\rho_{EE};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;rho_EE_CO;Variance of the effective input rate from population E to population E;
rho_EI_CO;Class;NMM_parameter;Cakan-Obermayer;\rho_{EI};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;rho_EI_CO;Variance of the effective input rate from population I to population E;
rho_IE_CO;Class;NMM_parameter;Cakan-Obermayer;\rho_{IE};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;rho_IE_CO;Variance of the effective input rate from population E to population I;
rho_II_CO;Class;NMM_parameter;Cakan-Obermayer;\rho_{II};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;rho_II_CO;Variance of the effective input rate from population I to population I;
s_EE_CO;Class;NMM_parameter;Cakan-Obermayer;s_{EE};;;;;;;;;;;;;;;;;sdot_EE_CO;;;;;;;;;;;;;;State Variable;;;;;;;;;;;;;;s_EE_CO;Fourth state-variable of ALN corresponding to the mean of synaptic activity from E population caused by inputs from population E;
s_EI_CO;Class;NMM_parameter;Cakan-Obermayer;s_{EI};;;;;;;;;;;;;;;;;sdot_EI_CO;;;;;;;;;;;;;;State Variable;;;;;;;;;;;;;;s_EI_CO;Seventh state-variable of ALN corresponding to the mean of synaptic activity from E population caused by inputs from population I;
s_IE_CO;Class;NMM_parameter;Cakan-Obermayer;s_{IE};;;;;;;;;;;;;;;;;sdot_IE_CO;;;;;;;;;;;;;;State Variable;;;;;;;;;;;;;;s_IE_CO;Fith state-variable of ALN corresponding to the mean of synaptic activity from I population caused by inputs from population E;
s_II_CO;Class;NMM_parameter;Cakan-Obermayer;s_{II};;;;;;;;;;;;;;;;;sdot_II_CO;;;;;;;;;;;;;;State Variable;;;;;;;;;;;;;;s_II_CO;Sixth state-variable of ALN corresponding to the mean of synaptic activity from I population caused by inputs from population I;
sigma_E_CO;Class;NMM_parameter;Cakan-Obermayer;\sigma_E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;sigma_E_CO;Variance of the excitatory membrane potential population.;
sigma_E_ext_CO;Class;NMM_parameter;Cakan-Obermayer;\sigma_{E_ext};;;;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;1 mV/sqrt(ms);;;;;;;;sigma_E_ext_CO;External excitatory input standard deviation;
sigma_I_CO;Class;NMM_parameter;Cakan-Obermayer;\sigma_I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;sigma_I_CO;Variance of the inhibitory membrane potential population.;
sigma_I_ext_CO;Class;NMM_parameter;Cakan-Obermayer;\sigma_{I_ext};;;;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;mV/sqrt(ms);;;;;;;;sigma_I_ext_CO;External inhibitory input standard deviation;
sigma_sEE_CO;Class;NMM_parameter;Cakan-Obermayer;\sigma_{sEE};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;State Variable;;;;;;;;;;;;;;sigma_sEE_CO;;
sigma_sEI_CO;Class;NMM_parameter;Cakan-Obermayer;\sigma_{sEI};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;State Variable;;;;;;;;;;;;;;sigma_sEI_CO;;
sigma_sIE_CO;Class;NMM_parameter;Cakan-Obermayer;\sigma_{sIE};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;State Variable;;;;;;;;;;;;;;sigma_sIE_CO;;
sigma_sII_CO;Class;NMM_parameter;Cakan-Obermayer;\sigma_{sII};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;State Variable;;;;;;;;;;;;;;sigma_sII_CO;;
T_ref_CO;Class;NMM_parameter;Cakan-Obermayer;T_{ref};;;;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;1 ms;;;;;;;;T_ref_CO;Refractory time;
tau_A_CO;Class;NMM_parameter;Cakan-Obermayer;\tau_A;;;;;;;;;;;;;;;;;;;;;;;;200.0;;;;;;;;;;;;;1 ms;;;;;;;;tau_A_CO;Adaptation time constant;
tau_E_CO;Class;NMM_parameter;Cakan-Obermayer;\tau_E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Parameter;;;;;;;;;;;;;;tau_E_CO;;
tau_E_ext_CO;Class;NMM_parameter;Cakan-Obermayer;\tau_{E_ext};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tau_E_ext_CO;;
tau_I_CO;Class;NMM_parameter;Cakan-Obermayer;\tau_I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Parameter;;;;;;;;;;;;;;tau_I_CO;;
tau_I_ext_CO;Class;NMM_parameter;Cakan-Obermayer;\tau_{I_ext};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tau_I_ext_CO;;
tau_m_CO;Class;NMM_parameter;Cakan-Obermayer;\tau_m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ms;;;;;;;;tau_m_CO;Membrane time constant;
tau_sE_CO;Class;NMM_parameter;Cakan-Obermayer;\tau_{sE};;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;1 ms;;;;;;;;tau_sE_CO;Synaptic decay time constant for excitatory connections;
tau_sI_CO;Class;NMM_parameter;Cakan-Obermayer;\tau_{sI};;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;1 ms;;;;;;;;tau_sI_CO;Synaptic decay time constant for inhibitory connections;
V_E_CO;Class;NMM_parameter;Cakan-Obermayer;V_E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Derived Variable;;;;;;;;;;;;;;V_E_CO;;
V_r_CO;Class;NMM_parameter;Cakan-Obermayer;V_r;;;;;;;;;;;;;;;;;;;;;;;;-70.0;;;;;;;;;;;;;1 mV;;;;;;;;V_r_CO;Membrane potential reset voltage;
V_s_CO;Class;NMM_parameter;Cakan-Obermayer;V_s;;;;;;;;;;;;;;;;;;;;;;;;-40.0;;;;;;;;;;;;;1 mV;;;;;;;;V_s_CO;Spike voltage threshold;
V_T_CO;Class;NMM_parameter;Cakan-Obermayer;V_T;;;;;;;;;;;;;;;;;;;;;;;;-50.0;;;;;;;;;;;;;1 mV;;;;;;;;V_T_CO;Effective threshold voltage;
Edot_WC;Class;NMM_parameter;E_WC;\dot{E};;;;;E_WC;E_WC;;;;;Se_WC;;;;;;;r_e_WC	tau_e_WC	k_e_WC;;;;;;;;;;;;;;;;;;;;;;;;;;;Edot_WC;Derivative of the state-variable E_WC with respect to time (Wilson and Cowan, 1973).;
Epileptor2D;Class;NMM;Epileptor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/epileptor.py;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_documentation/demos/exploring_epileptor_2d.ipynb;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Epileptor/Epileptor-2D;E2D;;;"Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.

Proix, T.; Bartolomei, F; Guye, M.; Jirsa, V.K. Individual brain structure and modelling predict seizure propagation. Brain 2017, 140; 641–654.";"Equations of the Epileptor2D.

math::
\dot{x} &=& tt * (c - f(x) - z + I_{ext}) \\
\dot{z} &=& tt*
            \begin{cases}
                        1 / \tau_{0} (h(x_{1}) - z -0.1 z^{7} - K_{s}*lrc) & \text{if} z<0
                        1 / \tau_{0} (h(x_{1}) - z - K_{s}*lrc) & \text{if} & \text{else}
            \end{cases}

with
math::
            f &=&
             \begin{cases}
                        ax^{3} + (d-b)x^{2} & \text{if} x<0
                        -(slope + 0.6(z - 4)^{2})x + dx^{2} & \text{else}
            \end{cases}

and
math::
            h &=&
             \begin{cases}
                        x_{0} + 3 / (exp((x + 0.5)/0.1)) & \text{if modification }
                        s (x - x_{0}) & \text{else}
            \end{cases}";;;;;Epileptor2D;"Epileptor2D (E2D) is a phenomenological neural mass model consisting in the two-dimensional reduction (x, z) of the original Epileptor model (see Epileptor5D; Proix et al., 2014, 2017).

Note:
------
- Equations and default parameters are taken from (Proix et al.,2014),
- The slow permittivity state-variable (z_E2D) can be modified to account for the time difference between the interictal (between seizures) and ictal (during seizure) states (see Proix et al., 2014).";
Epileptor5D;Class;NMM;Epileptor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/epileptor.py;;;;;https://docs.thevirtualbrain.org/tutorials/tutorial_3_ModelingEpilepsy.html#tutorial-3-modelingepilepsy	https://nbviewer.thevirtualbrain.org/url/docs.thevirtualbrain.org/tutorials/tutorial_s6_ModelingEpilepsy.ipynb;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Epileptor/Epileptor-5D;E5D;;http://docs.thevirtualbrain.org/_modules/tvb/simulator/models/epileptor.html#Epileptor;"Jirsa, VK, Stacey WC, Quilichini P P, Ivanov A I, Bernard C. On the nature of seizure dynamics. Brain, 2014, (137) 8, p: 2210–2230.

El Houssaini K, Ivanov A I, Bernard C, and Jirsa VK. Seizures, refractory status epilepticus, and depolarization block as endogenous brain activities. Phys Rew E 91, 010701(R) (2015).

El Houssaini K, Bernard C, and Jirsa VK. The epileptor model: a systematic mathematical analysis linked to the dynamics of seizures, refractory status epilepticus and depolarization block. eNeuro 2020, (7) 2.

Proix T, Bartolomei F, Chauvel P, Bernard C, Jirsa VK. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";"The equations of the Epilepor5D read as follows:

For all node i,

x1dot_i = tt_i (y1_i - f1(x1_i, x2_i) - z_i + Iext1_i) + Kvf * lrc_x1
y1dot_i = tt_i (1 / tau1_i (c_i - d_i x1_i **2 - y1_i))

zdot_i = tt_i *
                  1 / tau0_i (h(x1_i) - z_i -0.1 z_i^{7} - Ks * lrc_x1), if z<0
                  1 / tau0_i (h(x1_i) - z_i + Ks * lrc_x1), if z > 0

if modification:
            h(x1_i) =   (x0_i + 3 /  (1 + exp(- (x1_i + 0.5)  /  0.1)) - z_i \\
else:
            h(x1_i) = s_i * (x1_i - x0_i)

x2dot = tt_i * (-y2_i + x2_i - x2_i x2_i**2 + Iext2_i + 2 g(x1_i) - 0.3 (z_i - 3.5)) + Kf * lrc_x2 + noise
y2dot_i = tt_i (1 / tau2_i (-y2_i + f2(x2_i)) + noise

 gdot_i = tt_i (-gamma_i (g_i - 0.1 x1_i))

where:
f1(x1, x2) =
                  a_i x1_i**2 x1_i - b_i x1_i**2, if x1_i <0
                  - (slope_i - x2_i + 0.6 (z_i - 4)**2) x1_i, if x1_i > 0

and
f2(x2) =
             0  if x2_i < - 0.25
             a2_i (x2_i + 0.25) if x2_i > -0.25";;;;;Epileptor5D;"Epilepor5D (E5D) is a phenomenological, coupled, nonlinear five-dimensional (i.e., five state-variables (x1, y1, z, x2, y2)) neural mass model able to realistically reproduce the temporal dynamics of epileptic seizures and the alternating sequence of seizures (ictal and interictal state; Jirsa et al.,2014; El Houssaini et al., 2015, 2020).

Epileptor5D comprises three different time scales interacting together and accounting for various electrographic patterns:
- the fastest and intermediate time scales are two coupled oscillators ((x1, y1) and (x2, y2)), accounting respectively for the low-voltage fast discharges (i.e., very fast oscillations) and spike-and-wave discharges.
- the slowest time scale is responsible for leading the autonomous switch between interictal and ictal states and is driven by a slow-permittivity variable z. This switching is accompanied by a direct current (DC) shift that has been recorded in vitro and in vivo.

The main output of the model: -x1+ x2, bears analogy with the field potential, while the precise biophysical equivalent of the z variable is unknown and will be likely complex.

Note:
------
- Equations and default parameters are taken from (Jirsa et al.,2014 & El Houssaini et al., 2015),
- The integral coupling function g(x1) can be rewritten as an ordinary differential equation, which is technically introduced, here, as a sixth state-variable (see Jirsa et al.,2014),
- The slow permittivity state-variable (z_E5D) can be modified to account for the time difference between the interictal (between seizures) and ictal (during seizure) states (see Proix et al., 2014).";
EpileptorCodim3;Class;NMM;Epileptor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/epileptorcodim3.py;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_documentation/demos/exploring_the_epileptor_codim_3_model.ipynb;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Epileptor/Epileptor-Codim-3;;;;"(Saggio et al., 2017) Saggio ML, Spiegler A, Bernard C, Jirsa VK. Fast–Slow Bursters in the Unfolding of a High Codimension Singularity and the Ultra-slow Transitions of Classes. J of Math Neurosci. 2017;7:7. doi:10.1186/s13408-017-0050-8.";Equations of the Epileptor Codim 3.;;;;;EpileptorCodim3;"The Epileptor Codim 3 (CD3) model is a phenomenological neural mass model


It contains two subsystems acting on different timescales:
- for the fast subsystem, we use the unfolding of a degenerate Takens-Bogdanov bifucation of codimension 3.
- he slow subsystem steers the fast one back and forth along paths leading to bursting behavior.

The model is able to produce almost all the classes of bursting predicted for systems with a planar fast subsystem.



Note:
- Equations and default parameters are taken from (Saggio et al., 2017),
- The default model parameters correspond to class c2s.";
EpileptorCodim3SlowMod;Class;NMM;Epileptor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/epileptorcodim3.py;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_documentation/demos/exploring_the_epileptor_codim_3_model.ipynb;;;;;;;;;;;;EpileptorCodim3SlowMod;;
EpileptorRestingState;Class;NMM;Epileptor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/epileptor_rs.py;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_documentation/demos/exploring_resting_state_in_epilepsy.ipynb;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Epileptor/Epileptor-RS;ERS;;https://nbviewer.thevirtualbrain.org/url/docs.thevirtualbrain.org/demos/exploring_resting_state_in_epilepsy.ipynb;"Jirsa, VK, Stacey WC, Quilichini P P, Ivanov A I, Bernard C. On the nature of seizure dynamics. Brain, 2014, (137) 8, p: 2210–2230.

Sanz-Leon P, Knock SA,Woodman MM, Domide L, Mersmann J, McIntosh AR, Jirsa VK. The Virtual Brain: a simulator of primate brain network dynamics. Front. Neuroinform. 2013, 7-10. https://doi.org/10.3389/fninf.2013.00010

Sanz-Leon P, Knock SA, Spiegler A, Jirsa, VK. Mathematical framework for large-scale brain network modeling in The Virtual Brain. NeuroImage 2015, 111: 385-430. http://dx.doi.org/10.1016/j.neuroimage.2015.01.002

Courtiol J, Guye M, Bartolomei F, Petkoski S, Jirsa VK. Dynamical mechanism of interictal resting-state functional connectivity in epilepsy. J Neurosci 2020, 40 (29) 5572-5588. https://doi.org/10.1523/JNEUROSCI.0905-19.2020";"Equations of the Epileptor RS.

::math
\dot{x_{1}} &=& tt (y_{1} - f_{1}(x_{1}, x_{2}) - z + I_{ext1}) + K_{vf}*lrc\\
 \dot{y_{1}} &=& tt (1 / \tau_{1} (c - d x_{1}^{2} - y{1})) \\

\dot{z} &=& tt*
            \begin{cases}
                        1 / \tau_{0} (h(x_{1}) - z -0.1 z^{7} - K_{s}*lrc) & \text{if} z<0 \\
                        1 / \tau_{0} (h(x_{1}) - z + K_{s}) & \text{if} & \text{if} z \geq 0
            \end{cases}
if modification:
            h(x_{1}) &=&   (x_{0} + 3. / (1. + exp(- (x_{1} + 0.5) / 0.1)) - z)) \\
else:
            h(x_{1}) &=&   s(x_{1} - x_{0})

 \dot{x_{2}} &=& tt (-y_{2} + x_{2} - x_{2}^{3} + I_{ext2} + 2 g(x_{1}) - 0.3 (z - 3.5)) + K_{f}*lrc + noise \\
 \dot{y_{2}} &=& tt (1 / \tau_{2} (-y_{2} + f_{2}(x_{2}))) + noise \\

 \dot{g} &=& tt (-gamma (g - 0.1 x_{1}))\\

 \dot{x_{rs}} &=& d_{rs} \tau_{rs} (-f_{rs} x_{rs}^3 + e_{rs} x_{rs}^2 + \alpha_{rs} y_{rs} + \gamma_{rs} I_{rs}) \\
  \dot{y_{rs}} &=& d_{rs} (b_{rs}  x_{rs} - \beta_{rs} y_{rs} + a_{rs}) / \tau_{rs}";;;;;EpileptorRestingState;"Epileptor Resting-State (ERS) is an extension of the phenomenological neural mass model of Epileptor5D, tuned to express regionally specific physiological oscillations in addition to the epileptiform discharges (Courtiol et al., 2020). This extension was made using the Generic 2-dimensional Oscillator model (parametrized close to a supercritical Hopf Bifurcation) (Sanz-Leon et al., 2013, 2015) to reproduce the spontaneous local field potential-like signal.

This model, its motivation and derivation can be found in the published article (Courtiol et al., 2020).";
a_E2D;Class;NMM_parameter;Epileptor2D;a;;;;;;;;;;;;x_E2D;;f_E2D;;;;;;;;;;1.0;;;;;;;Parameter;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";;;;;;a_E2D;Coefficient of the cubic term in the first state-variable x_E2D via the function f(x)_E2D, in Epileptor2D Proix et al.,2014).;
b_E2D;Class;NMM_parameter;Epileptor2D;b;;;;;;;;;;;;x_E2D;;f_E2D;;;;;;;;;;3.0;;;;;;;Parameter;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";;;;;;b_E2D;Coefficient of the squared term in the first state-variable x_E2D via the function f_E2D, in Epileptor2D (Proix et al.,2014).;
c_E2D;Class;NMM_parameter;Epileptor2D;c;;;;;;;;;;;;;;xdot_E2D;;;;;;;;;;1.0;;;;;;;Parameter;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";;;;;;c_E2D;Additive coefficient in the first state-variable x_E2D in Epileptor2D (Proix et al.,2014).;
d_E2D;Class;NMM_parameter;Epileptor2D;d;;;;;;;;;;;;x_E2D;;f_E2D;;;;;;;;;;5.0;;;;;;;Parameter;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";;;;;;d_E2D;Coefficient of the squared term in the first state-variable x_E2D via the function f in Epileptor2D (Proix et al.,2014).;
f_E2D;Class;NMM_parameter;Epileptor2D;f;;;;;z_E2D	x_E2D;;x_E2D;;;;;;;;;;;d_E2D	slope_E2D	a_E2D	b_E2D;;xdot_E2D;;;;;;;;;;;State Variable;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";"math::
            f(x) =
                 \begin{cases}
                        ax^{3} + (d- b) x^{2} & \text{if} x <0 \\
                        -(slope + 0.6 (z - 4)^2) x + dx^{2} & \text{else}
                 \end{cases}";;;;;f_E2D;;
h_E2D;Class;NMM_parameter;Epileptor2D;h;;;;;x_E2D;;x_E2D;;;;;;;;;;;s_E2D	x0_E2D;;zdot_E2D;;;;;;;;;;;Derived Variable;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";"Equations of the h.

math::
if modification:
            h(x) = x_{0} + 3. / (1. + exp(- (x+ 0.5) / 0.1))
 else:
            h(x) = s * (x - x_{0})";;;;;h_E2D;"The slow permittivity state-variable (z_E2D) in Epileptor2D can be modified to account for the time difference between the interictal (between seizures) and ictal (during seizure) states (Proix et al., 2014).

When modification is True, the function h_E2D uses a nonlinear influence on z_E2D. The default value is False, i.e., linear influence on z_E2D.";
Iext_E2D;Class;NMM_parameter;Epileptor2D;Iext;;;;;;;;;;;;;;xdot_E2D;;;;;;;;;;3.1;;;;;;;Parameter;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";;;;;;Iext_E2D;External input current to the first state-variable x_E2D, in Epileptor2D (Proix et al.,2014).;
Ks_E2D;Class;NMM_parameter;Epileptor2D;Ks;;;;;;;;;;;;;;zdot_E2D;;;;;;;;;;0.0;;;;;;;Parameter;;;;;;;;(Proix et al., 2014) Proix T, Bartolomei F, Chauvel P, Bernard C, Jirsa VK. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.;;;;;;Ks_E2D;"Permittivity coupling on the slow permittivity state-variable z_E2D in Epileptor2D (Proix et al., 2014).

The coupling quantifies the influence of neuronal fast discharges x_E2D on the local slow permittivity variable z_E2D.";
Kvf_E2D;Class;NMM_parameter;Epileptor2D;Kvf;;;;;;;;;;;;;;xdot_E2D;;;;;;;;;;0.0;;;;;;;Parameter;;;;;;;;;;;;;;Kvf_E2D;Very fast coupling on the first state-variable x_E2D in Epileptor2D.;
modification_E2D;Class;NMM_parameter;Epileptor2D;modification;;;;;;;;;;zdot_E2D	h_E2D;;;;;;;;;;;;;;FALSE;;;;;;;;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";;;;;;modification_E2D;When modification is True, the function h_E2D uses a nonlinear influence on z_E2D. The default value is False, i.e., linear influence on z_E2D.;
s_E2D;Class;NMM_parameter;Epileptor2D;s;;;;;;;;;;;;x_E2D;;h_E2D;;;;;;;;;;4.0;;;;;;;;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";;;;;;s_E2D;Linear coefficient in the slow permittivity state-variable z_E2D in Epileptor2D (Proix et al.,2014).;
slope_E2D;Class;NMM_parameter;Epileptor2D;slope;;;;;;;;;;;;x_E2D;;f_E2D;;;;;;;;;;0.0;;;;;;;;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";;;;;m;slope_E2D;Linear coefficient in the first state-variable x_E2D via the function f_E2D, in Epileptor2D (Proix et al.,2014).;
tau0_E2D;Class;NMM_parameter;Epileptor2D;tau0;;;;;;;;;;;;x_E2D	z_E2D;;zdot_E2D;;;;;;;;;;;;;;;;;;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";;;;;;tau0_E2D;"Characteristic time scale of the slow permittivity state-variable z_E2D in Epileptor2D (Proix et al.,2014).

Note:
- we can also find the following annotation, r = 1/ tau0";
tt_E2D;Class;NMM_parameter;Epileptor2D;tt;;;;;;;;;;;;;;xdot_E2D	zdot_E2D;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;tt_E2D;Characteristic time scale of the whole-system Epileptor2D.;
x0_E2D;Class;NMM_parameter;Epileptor2D;x0;;;;;;;;;;;;;;h_E2D;;;;;;;;;;-1.6;;;;;;;;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";;;;;Epileptogenicity;x0_E2D;"Degree of excitability or epileptogenicity in Epileptor2D (Proix et al.,2014).

If x0 is greater than a critical value, x0,critic = −2.05 (i.e., in the supercritical regime), the system can trigger seizures autonomously; otherwise it is in its equilibrium state (i.e., in the subcritical regime).

Note:
- If modification_E2D:
if x0 is smaller than a critical value, x0,critic = 2.91, can trigger seizures autonomously; otherwise it is in its equilibrium state (Proix et al., 2014).";
x_E2D;Class;NMM_parameter;Epileptor2D	State-Variable;x;;h_E2D	f_E2D;;;;;;;;;;;;;f_E2D	zdot_E2D	h_E2D	xdot_E2D;;xdot_E2D;;;;;;;;;;;;;;State Variable;;;;;;;;"(Proix et al., 2014) Proix, T.; Bartolomei, F; Chauvel, P; Bernard, C; Jirsa, V.K. Permittivity coupling across brain regions determines seizure recruitment in partial epilepsy. J Neurosci 2014, 34:15009-21.";;;;;;x_E2D;First state-variable in the Epileptor2D (Proix et al., 2014).;
